latitude,longitude,YYYY-MM-DD,daily_rain,daily_rain_source,max_temp,max_temp_source,min_temp,min_temp_source,vp,vp_source,vp_deficit,vp_deficit_source,evap_pan,evap_pan_source,evap_syn,evap_syn_source,evap_comb,evap_comb_source,evap_morton_lake,evap_morton_lake_source,radiation,radiation_source,rh_tmax,rh_tmax_source,rh_tmin,rh_tmin_source,et_short_crop,et_short_crop_source,et_tall_crop,et_tall_crop_source,et_morton_actual,et_morton_actual_source,et_morton_potential,et_morton_potential_source,et_morton_wet,et_morton_wet_source,mslp,mslp_source,metadata
 -25.8000, 146.6000,2019-01-01,    0.0,25, 38.0,25, 24.1,25, 15.6,25, 39.2,26, 11.4,25, 11.7,26, 11.4,25, 8.7,26, 30.7,42, 23.5,26, 52.0,26,  8.3,26, 10.8,26, 2.7,26,13.3,26, 8.0,26,1011.8,25,"elevation= 376.9 m"
 -25.8000, 146.6000,2019-01-02,    0.0,25, 38.0,25, 24.1,25, 15.3,25, 39.5,26, 11.4,25, 11.1,26, 11.4,25, 7.6,26, 26.5,42, 23.1,26, 51.0,26,  7.8,26, 10.3,26, 1.4,26,12.6,26, 7.0,26,1010.3,25,"reference=rxnvdescljhgftapwm"
 -25.8000, 146.6000,2019-01-03,    0.0,25, 37.6,25, 24.5,25, 15.5,25, 38.7,26, 10.5,25, 10.9,26, 10.5,25, 7.5,26, 26.3,42, 23.9,26, 50.4,26,  7.7,26, 10.2,26, 1.4,26,12.6,26, 7.0,26,1010.2,25,"extracted=20240517"
 -25.8000, 146.6000,2019-01-04,    0.0,25, 37.9,25, 25.4,25, 17.0,25, 38.5,26, 11.5,25, 11.0,26, 11.5,25, 7.9,26, 27.3,42, 25.8,26, 52.4,26,  7.9,26, 10.3,26, 2.0,26,12.7,26, 7.3,26,1011.3,25,"dataset=BoM Only"
 -25.8000, 146.6000,2019-01-05,    0.8,25, 37.5,25, 22.1,25, 16.6,25, 35.6,26,  9.7,25, 11.2,26,  9.7,25, 8.5,26, 30.5,42, 25.7,26, 62.4,26,  8.1,26, 10.4,26, 3.3,26,12.4,26, 7.8,26,1012.2,25,"Please read our web site for information about the meanings of the codes, and other information"
 -25.8000, 146.6000,2019-01-06,    0.0,25, 38.6,25, 24.3,25, 16.8,25, 39.5,26, 12.0,25, 11.5,26, 12.0,25, 8.4,26, 29.3,42, 24.5,26, 55.3,26,  8.2,26, 10.6,26, 2.6,26,13.0,26, 7.8,26,1009.6,25,""
 -25.8000, 146.6000,2019-01-07,    0.0,25, 37.2,25, 23.4,25, 18.1,25, 34.4,26, 11.7,25, 10.5,26, 11.7,25, 7.9,26, 27.5,42, 28.5,26, 62.9,26,  7.6,26,  9.8,26, 2.9,26,11.7,26, 7.3,26,1010.7,25,""
 -25.8000, 146.6000,2019-01-08,    0.0,25, 37.1,25, 23.5,25, 17.0,25, 35.3,26,  9.9,25, 11.1,26,  9.9,25, 8.8,26, 31.0,42, 26.9,26, 58.7,26,  8.1,26, 10.4,26, 3.5,26,12.6,26, 8.1,26,1010.2,25,""
 -25.8000, 146.6000,2019-01-09,    0.0,25, 36.4,25, 24.4,25, 19.8,25, 31.6,26, 10.3,25, 10.0,26, 10.3,25, 7.9,26, 27.2,42, 32.6,26, 64.8,26,  7.4,26,  9.4,26, 3.3,26,11.3,26, 7.3,26,1009.2,25,""
 -25.8000, 146.6000,2019-01-10,    0.0,25, 37.6,25, 23.8,25, 21.6,25, 32.0,26,  9.7,25, 10.1,26,  9.7,25, 8.0,26, 26.9,42, 33.3,26, 73.3,26,  7.4,26,  9.4,26, 3.8,26,10.9,26, 7.4,26,1011.6,25,""
