Time,422201F,,422201F,,422201F,,422201F,,422201F,,422201F,,422201F,,
and,100,,100,,100,,141,,141,,141,,151,,
Date,Level (Metres),,Level (Metres),,Level (Metres),,Discharge (ML/day),,Discharge (ML/day),,Discharge (ML/day),,Volume ML,,
Date and time,Mean,Quality,Min,Quality,Max,Quality,Mean,Quality,Min,Quality,Max,Quality,Total,Quality,Comments
15/03/2012 00:00,,255,,255,,255,,255,,255,,255,,255,Sites:
16/03/2012 00:00,1.823,10,1.716,10,1.89,10,885.957,30,485.698,30,1142.942,30,885.96,30,422201F - Balonne River at St. George Lat:-28.06135 Long:148.563584 Elev:196m
17/03/2012 00:00,1.715,10,1.713,10,1.716,10,481.445,20,477.274,20,485.698,20,481.45,20, 
18/03/2012 00:00,1.714,10,1.712,10,1.715,10,479.353,20,474.466,20,482.846,20,479.35,20,Variables:
19/03/2012 00:00,1.677,10,1.621,10,1.714,10,398.749,20,284.774,20,480.038,20,398.75,20,10 - Rainfall (millimetres)
20/03/2012 00:00,1.617,10,1.615,10,1.621,10,279.687,20,276.134,20,284.774,20,279.69,20,100 - Stream Water Level (Metres)
21/03/2012 00:00,1.617,10,1.615,10,1.619,10,279.173,20,276.134,20,281.88,20,279.17,20,140 - Stream Discharge (Cumecs)
22/03/2012 00:00,1.646,10,1.616,10,1.729,10,337.405,20,277.56,20,523.454,20,337.4,20,141 - Stream Discharge (Megalitres/Day)
23/03/2012 00:00,1.731,10,1.729,10,1.732,10,529.023,20,523.454,20,532.483,20,529.02,20,151 - Stream Discharge Volume (Megalitres)
24/03/2012 00:00,1.7,10,1.64,10,1.734,10,451.51,20,313.459,20,538.531,20,451.51,20, 
25/03/2012 00:00,1.64,10,1.637,10,1.649,10,312.785,20,308.794,20,327.672,20,312.79,20,Qualities:
26/03/2012 00:00,1.724,10,1.649,10,1.796,10,531.667,20,327.672,20,753.71,20,531.67,20,10 - Good
27/03/2012 00:00,1.901,10,1.788,10,2.25,10,1207.761,30,722.866,30,2972.462,30,1207.76,30,15 - Water level below threshold (no flow)
28/03/2012 00:00,2.388,10,2.25,10,2.505,10,4033.63,60,2972.462,60,5012.755,60,4033.63,60,20 - Fair
29/03/2012 00:00,2.313,10,2.008,10,2.508,10,3648.308,60,1625.53,60,5042.174,60,3648.31,60,30 - Poor
30/03/2012 00:00,1.992,10,1.975,10,2.008,10,1554.134,30,1479.773,30,1625.53,30,1554.13,30,60 - Estimate
31/03/2012 00:00,1.976,10,1.975,10,1.977,10,1484.974,30,1479.773,30,1488.37,30,1484.97,30,130 - Not coded value
01/04/2012 00:00,2.022,10,1.977,10,2.094,10,1700.785,30,1488.37,30,2046.643,30,1700.78,30,255 - No data exists
02/04/2012 00:00,2.067,10,1.991,10,2.097,10,1914.868,30,1549.368,30,2062.454,30,1914.87,30, 
03/04/2012 00:00,1.939,10,1.861,10,1.992,10,1343.061,30,1040.213,30,1553.818,30,1343.06,30, 
04/04/2012 00:00,1.861,10,1.861,10,1.862,10,1041.077,30,1040.213,30,1043.669,30,1041.08,30, 
05/04/2012 00:00,1.789,10,1.691,10,1.867,10,769.658,30,418.781,30,1060.992,30,769.66,30, 
06/04/2012 00:00,1.692,10,1.688,10,1.698,10,421.457,20,411.221,20,436.752,20,421.46,20, 
07/04/2012 00:00,1.69,10,1.689,10,1.692,10,416.461,20,413.726,20,421.33,20,416.46,20, 
08/04/2012 00:00,1.736,10,1.689,10,1.842,10,573.188,20,413.726,20,950.357,20,573.19,20, 
